date,country_name,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,school_closing,school_closing_flag,workplace_closing,workplace_closing_flag,cancel_public_events,cancel_public_events_flag,restrictions_on_gatherings,restrictions_on_gatherings_flag,close_public_transit,close_public_transit_flag,stay_at_home_requirements,stay_at_home_requirements_flag,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,international_travel_controls,income_support,income_support_flag,debt_contract_relief,fiscal_measures,international_support,public_information_campaigns,public_information_campaigns_flag,testing_policy,contact_tracing,emergency_healthcare_investment,vaccine_investment,misc_wildcard,confirmed_cases,deaths,stringency_index,mobility_transit_stations_response,mobility_retail_and_recreation_response,mobility_grocery_and_pharmacy_response,mobility_parks_response,mobility_residential_response,mobility_workplaces_response
2020-07-07,Egypt,0,1057.0,67.0,77279.0,3489.0,-25.0,-30.0,14.0,-14.0,8.0,-18.0,27.0,29.0,POINT(29 27),33.022222,24.4,39.644444,0.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,76222.0,3422.0,60.19,-28.0,-32.0,11.0,-15.0,8.0,-18.0
2020-07-08,Egypt,0,1025.0,75.0,78304.0,3564.0,-28.0,-32.0,11.0,-15.0,8.0,-18.0,27.0,29.0,POINT(29 27),32.5,25.322222,38.655556,0.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,77279.0,3489.0,60.19,-29.0,-34.0,9.0,-15.0,9.0,-18.0
2020-07-09,Egypt,0,950.0,53.0,79254.0,3617.0,-29.0,-34.0,9.0,-15.0,9.0,-18.0,27.0,29.0,POINT(29 27),31.655556,26.022222,37.444444,0.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,78304.0,3564.0,60.19,-23.0,-27.0,17.0,9.0,7.0,-9.0
2020-07-10,Egypt,0,981.0,85.0,80235.0,3702.0,-23.0,-27.0,17.0,9.0,7.0,-9.0,27.0,29.0,POINT(29 27),32.6,26.033333,37.677778,0.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,79254.0,3617.0,60.19,-25.0,-28.0,14.0,-4.0,7.0,-13.0
2020-07-11,Egypt,0,923.0,67.0,81158.0,3769.0,-25.0,-28.0,14.0,-4.0,7.0,-13.0,27.0,29.0,POINT(29 27),32.5,25.022222,38.9,0.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,80235.0,3702.0,60.19,-23.0,-29.0,15.0,-7.0,7.0,-19.0
2020-07-12,Egypt,0,912.0,89.0,82070.0,3858.0,-23.0,-29.0,15.0,-7.0,7.0,-19.0,27.0,29.0,POINT(29 27),32.033333,24.766667,38.522222,0.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,81158.0,3769.0,60.19,-25.0,-28.0,12.0,-10.0,8.0,-15.0
2020-07-13,Egypt,0,931.0,77.0,83001.0,3935.0,-25.0,-28.0,12.0,-10.0,8.0,-15.0,27.0,29.0,POINT(29 27),30.588889,23.566667000000002,37.366667,0.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,82070.0,3858.0,60.19,-24.0,-28.0,11.0,-11.0,7.0,-17.0
2020-07-14,Egypt,0,929.0,73.0,83930.0,4008.0,-24.0,-28.0,11.0,-11.0,7.0,-17.0,27.0,29.0,POINT(29 27),31.1,23.355556,38.066666999999995,0.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,83001.0,3935.0,60.19,-25.0,-29.0,10.0,-13.0,7.0,-17.0
2020-07-15,Egypt,0,913.0,59.0,84843.0,4067.0,-25.0,-29.0,10.0,-13.0,7.0,-17.0,27.0,29.0,POINT(29 27),31.455556,23.577778,38.566666999999995,0.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,83930.0,4008.0,60.19,-26.0,-31.0,9.0,-13.0,8.0,-16.0
2020-07-16,Egypt,0,928.0,53.0,85771.0,4120.0,-26.0,-31.0,9.0,-13.0,8.0,-16.0,27.0,29.0,POINT(29 27),30.833333000000003,24.822222,36.444444,0.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,84843.0,4067.0,60.19,-20.0,-23.0,17.0,13.0,7.0,-7.0
