date,country_name,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,school_closing,school_closing_flag,workplace_closing,workplace_closing_flag,cancel_public_events,cancel_public_events_flag,restrictions_on_gatherings,restrictions_on_gatherings_flag,close_public_transit,close_public_transit_flag,stay_at_home_requirements,stay_at_home_requirements_flag,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,international_travel_controls,income_support,income_support_flag,debt_contract_relief,fiscal_measures,international_support,public_information_campaigns,public_information_campaigns_flag,testing_policy,contact_tracing,emergency_healthcare_investment,vaccine_investment,misc_wildcard,confirmed_cases,deaths,stringency_index,mobility_transit_stations_response,mobility_retail_and_recreation_response,mobility_grocery_and_pharmacy_response,mobility_parks_response,mobility_residential_response,mobility_workplaces_response
2020-07-03,India,2,1375.0,73.0,82074.0,4762.0,-84.0,-83.0,-56.0,-87.0,30.0,-66.0,,,,,,,,,3.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,625544.0,18213.0,74.07,-85.0,-85.0,-60.0,-90.0,29.0,-60.0
2020-07-04,India,2,1163.0,68.0,83237.0,4830.0,-85.0,-85.0,-60.0,-90.0,29.0,-60.0,,,,,,,,,3.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,648315.0,18655.0,74.07,-84.0,-87.0,-60.0,-91.0,22.0,-46.0
2020-07-05,India,2,1287.0,69.0,84524.0,4899.0,-84.0,-87.0,-60.0,-91.0,22.0,-46.0,,,,,,,,,3.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,673165.0,19268.0,74.07,-80.0,-76.0,-35.0,-84.0,26.0,-62.0
2020-07-06,India,2,1200.0,39.0,85724.0,4938.0,-80.0,-76.0,-35.0,-84.0,26.0,-62.0,,,,,,,,,3.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,697413.0,19693.0,74.07,-82.0,-79.0,-46.0,-86.0,27.0,-64.0
2020-07-07,India,2,785.0,64.0,86509.0,5002.0,-82.0,-79.0,-46.0,-86.0,27.0,-64.0,,,,,,,,,3.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,719665.0,20160.0,74.07,-80.0,-76.0,-35.0,-84.0,25.0,-61.0
2020-07-08,India,2,1347.0,62.0,87856.0,5064.0,-80.0,-76.0,-35.0,-84.0,25.0,-61.0,,,,,,,,,3.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,742417.0,20642.0,74.07,-80.0,-76.0,-36.0,-83.0,26.0,-62.0
2020-07-09,India,2,1268.0,68.0,89124.0,5132.0,-80.0,-76.0,-36.0,-83.0,26.0,-62.0,,,,,,,,,3.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,767296.0,21129.0,74.07,-79.0,-76.0,-33.0,-82.0,26.0,-61.0
2020-07-10,India,2,1337.0,73.0,90461.0,5205.0,-79.0,-76.0,-33.0,-82.0,26.0,-61.0,,,,,,,,,3.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,793802.0,21604.0,77.78,-79.0,-77.0,-36.0,-85.0,25.0,-58.0
2020-07-11,India,2,1284.0,39.0,91745.0,5244.0,-79.0,-77.0,-36.0,-85.0,25.0,-58.0,,,,,,,,,3.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,820916.0,22123.0,77.78,-82.0,-86.0,-57.0,-90.0,21.0,-45.0
2020-07-12,India,2,1243.0,44.0,92988.0,5288.0,-82.0,-86.0,-57.0,-90.0,21.0,-45.0,,,,,,,,,3.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,849553.0,22674.0,77.78,-79.0,-74.0,-34.0,-83.0,25.0,-61.0
