date,country_name,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,school_closing,school_closing_flag,workplace_closing,workplace_closing_flag,cancel_public_events,cancel_public_events_flag,restrictions_on_gatherings,restrictions_on_gatherings_flag,close_public_transit,close_public_transit_flag,stay_at_home_requirements,stay_at_home_requirements_flag,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,international_travel_controls,income_support,income_support_flag,debt_contract_relief,fiscal_measures,international_support,public_information_campaigns,public_information_campaigns_flag,testing_policy,contact_tracing,emergency_healthcare_investment,vaccine_investment,misc_wildcard,confirmed_cases,deaths,stringency_index,mobility_transit_stations_response,mobility_retail_and_recreation_response,mobility_grocery_and_pharmacy_response,mobility_parks_response,mobility_residential_response,mobility_workplaces_response
2020-04-13,United Kingdom,1,601.0,170.0,20319.0,3886.0,-85.0,-83.0,-43.0,-20.0,37.0,-87.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,81870.0,11954.0,79.63,-78.0,-78.0,-32.0,-16.0,33.0,-77.0
2020-04-14,United Kingdom,1,605.0,144.0,20924.0,4030.0,-78.0,-78.0,-32.0,-16.0,33.0,-77.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,6749.0,403.0,79.63,-78.0,-79.0,-32.0,-6.0,34.0,-77.0
2020-04-15,United Kingdom,1,660.0,146.0,21584.0,4176.0,-78.0,-79.0,-32.0,-6.0,34.0,-77.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,97052.0,14113.0,79.63,-79.0,-79.0,-32.0,-15.0,34.0,-76.0
2020-04-16,United Kingdom,1,576.0,139.0,22160.0,4315.0,-79.0,-79.0,-32.0,-15.0,34.0,-76.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,7473.0,495.0,79.63,-79.0,-81.0,-34.0,-43.0,36.0,-75.0
2020-04-17,United Kingdom,1,578.0,109.0,22738.0,4424.0,-79.0,-81.0,-34.0,-43.0,36.0,-75.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,7797.0,506.0,79.63,-77.0,-84.0,-38.0,-47.0,23.0,-59.0
2020-04-18,United Kingdom,1,402.0,116.0,23140.0,4540.0,-77.0,-84.0,-38.0,-47.0,23.0,-59.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,2001156510.12,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,102233.0,16427.0,79.63,-75.0,-83.0,-42.0,-6.0,17.0,-56.0
2020-04-19,United Kingdom,1,396.0,115.0,23536.0,4655.0,-75.0,-83.0,-42.0,-6.0,17.0,-56.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,2667.0,194.0,79.63,-77.0,-77.0,-34.0,1.0,32.0,-75.0
2020-04-20,United Kingdom,1,434.0,97.0,23970.0,4752.0,-77.0,-77.0,-34.0,1.0,32.0,-75.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,934500.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,9437.0,915.0,79.63,-77.0,-78.0,-33.0,-3.0,33.0,-75.0
2020-04-21,United Kingdom,1,467.0,103.0,24437.0,4855.0,-77.0,-78.0,-33.0,-3.0,33.0,-75.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,113371.0,18459.0,79.63,-77.0,-79.0,-32.0,3.0,33.0,-74.0
2020-04-22,United Kingdom,1,396.0,110.0,24833.0,4965.0,-77.0,-79.0,-32.0,3.0,33.0,-74.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,9018.0,624.0,79.63,-77.0,-78.0,-30.0,8.0,33.0,-74.0
